=== Résumé du Profiling (Top 20) ===
         571581 function calls (553719 primitive calls) in 1.278 seconds

   Ordered by: internal time
   List reduced from 434 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
99928/98868    0.067    0.000    0.108    0.000 {built-in method builtins.isinstance}
     2970    0.049    0.000    0.133    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\construction.py:519(sanitize_array)
     8560    0.035    0.000    0.056    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:6206(__setattr__)
     1870    0.030    0.000    0.040    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:991(iget)
     1870    0.028    0.000    0.373    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\base.py:541(to_numpy)
     1080    0.028    0.000    0.206    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:371(__init__)
     2960    0.027    0.000    0.033    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:274(__init__)
       10    0.023    0.002    0.901    0.090 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\xgboost\core.py:2540(inplace_predict)
     1910    0.023    0.000    0.041    0.000 {pandas._libs.lib.maybe_convert_objects}
     1870    0.022    0.000    0.261    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\frame.py:3853(__getitem__)
30604/21444    0.022    0.000    0.031    0.000 {built-in method builtins.len}
       10    0.021    0.002    0.094    0.009 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\xgboost\data.py:375(pandas_feature_info)
       10    0.020    0.002    0.753    0.075 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\xgboost\data.py:539(pandas_transform_data)
15460/7860    0.020    0.000    0.027    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\json\encoder.py:334(_iterencode_dict)
     1870    0.020    0.000    0.027    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:6147(__finalize__)
       10    0.019    0.002    0.055    0.005 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:2137(_form_blocks)
     2760    0.018    0.000    0.056    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_dtype.py:346(_name_get)
     1060    0.018    0.000    0.257    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\missing.py:184(_isna)
     4800    0.017    0.000    0.020    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:1949(dtype)
     1870    0.016    0.000    0.424    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\xgboost\data.py:566(oth_type)


